time	x_field	y_or_z_field
0.0000	0.000000	0.000000
0.5517	0.000000	0.000000
1.1034	0.000000	0.000000
1.6551	0.000001	0.000000
2.2068	0.000002	0.000000
2.7585	0.000004	0.000000
3.3102	0.000007	0.000000
3.8620	0.000011	0.000000
4.4137	0.000017	0.000000
4.9654	0.000024	0.000001
5.5171	0.000033	0.000001
6.0688	0.000044	0.000001
6.6205	0.000056	0.000002
7.1722	0.000072	0.000003
7.7239	0.000089	0.000003
8.2756	0.000109	0.000005
8.8273	0.000132	0.000006
9.3790	0.000157	0.000007
9.9307	0.000185	0.000009
10.4825	0.000216	0.000011
11.0342	0.000251	0.000014
11.5859	0.000288	0.000017
12.1376	0.000329	0.000020
12.6893	0.000373	0.000024
13.2410	0.000420	0.000028
13.7927	0.000471	0.000033
14.3444	0.000525	0.000038
14.8961	0.000583	0.000043
15.4478	0.000643	0.000050
15.9995	0.000707	0.000057
16.5512	0.000775	0.000064
17.1030	0.000845	0.000072
17.6547	0.000919	0.000081
18.2064	0.000996	0.000091
18.7581	0.001075	0.000101
19.3098	0.001158	0.000112
19.8615	0.001243	0.000124
20.4132	0.001331	0.000136
20.9649	0.001421	0.000149
21.5166	0.001513	0.000163
22.0683	0.001607	0.000178
22.6200	0.001703	0.000193
23.1717	0.001800	0.000210
23.7235	0.001899	0.000226
24.2752	0.001998	0.000244
24.8269	0.002099	0.000262
25.3786	0.002200	0.000281
25.9303	0.002300	0.000300
26.4820	0.002401	0.000320
27.0337	0.002501	0.000340
27.5854	0.002601	0.000361
28.1371	0.002699	0.000382
28.6888	0.002795	0.000404
29.2405	0.002890	0.000426
29.7922	0.002982	0.000448
30.3440	0.003072	0.000470
30.8957	0.003158	0.000492
31.4474	0.003241	0.000514
31.9991	0.003321	0.000536
32.5508	0.003396	0.000558
33.1025	0.003466	0.000579
33.6542	0.003531	0.000600
34.2059	0.003590	0.000620
34.7576	0.003644	0.000640
35.3093	0.003691	0.000659
35.8610	0.003732	0.000676
36.4127	0.003765	0.000693
36.9645	0.003791	0.000709
37.5162	0.003809	0.000723
38.0679	0.003818	0.000736
38.6196	0.003819	0.000747
39.1713	0.003810	0.000756
39.7230	0.003792	0.000763
40.2747	0.003764	0.000768
40.8264	0.003726	0.000771
41.3781	0.003678	0.000772
41.9298	0.003618	0.000770
42.4815	0.003548	0.000765
43.0332	0.003466	0.000757
43.5850	0.003372	0.000747
44.1367	0.003267	0.000733
44.6884	0.003149	0.000716
45.2401	0.003019	0.000695
45.7918	0.002876	0.000670
46.3435	0.002720	0.000642
46.8952	0.002552	0.000610
47.4469	0.002371	0.000573
47.9986	0.002176	0.000533
48.5503	0.001969	0.000488
49.1020	0.001748	0.000438
49.6537	0.001514	0.000384
50.2055	0.001268	0.000325
50.7572	0.001008	0.000261
51.3089	0.000735	0.000193
51.8606	0.000449	0.000119
52.4123	0.000150	0.000040
52.9640	-0.000161	-0.000044
53.5157	-0.000484	-0.000133
54.0674	-0.000820	-0.000227
54.6191	-0.001167	-0.000327
55.1708	-0.001526	-0.000432
55.7225	-0.001896	-0.000542
56.2742	-0.002277	-0.000658
56.8260	-0.002668	-0.000779
57.3777	-0.003069	-0.000905
57.9294	-0.003480	-0.001037
58.4811	-0.003899	-0.001174
59.0328	-0.004327	-0.001316
59.5845	-0.004762	-0.001462
60.1362	-0.005205	-0.001614
60.6879	-0.005655	-0.001771
61.2396	-0.006110	-0.001932
61.7913	-0.006570	-0.002097
62.3430	-0.007035	-0.002267
62.8947	-0.007504	-0.002441
63.4465	-0.007976	-0.002619
63.9982	-0.008449	-0.002800
64.5499	-0.008924	-0.002985
65.1016	-0.009400	-0.003173
65.6533	-0.009875	-0.003363
66.2050	-0.010349	-0.003557
66.7567	-0.010820	-0.003752
67.3084	-0.011288	-0.003949
67.8601	-0.011752	-0.004148
68.4118	-0.012211	-0.004348
68.9635	-0.012664	-0.004548
69.5152	-0.013109	-0.004749
70.0670	-0.013547	-0.004950
70.6187	-0.013975	-0.005150
71.1704	-0.014393	-0.005350
71.7221	-0.014800	-0.005547
72.2738	-0.015195	-0.005743
72.8255	-0.015577	-0.005937
73.3772	-0.015944	-0.006127
73.9289	-0.016296	-0.006314
74.4806	-0.016631	-0.006497
