time	x_field	y_or_z_field
0.0000	0.000000	0.000000
0.5517	0.000000	0.000001
1.1034	0.000000	0.000003
1.6551	0.000001	0.000007
2.2068	0.000002	0.000012
2.7585	0.000003	0.000018
3.3102	0.000005	0.000026
3.8620	0.000008	0.000034
4.4137	0.000012	0.000043
4.9654	0.000017	0.000052
5.5171	0.000024	0.000062
6.0688	0.000031	0.000071
6.6205	0.000041	0.000080
7.1722	0.000051	0.000088
7.7239	0.000064	0.000095
8.2756	0.000078	0.000101
8.8273	0.000094	0.000105
9.3790	0.000113	0.000106
9.9307	0.000133	0.000105
10.4825	0.000155	0.000101
11.0342	0.000180	0.000094
11.5859	0.000207	0.000083
12.1376	0.000236	0.000069
12.6893	0.000267	0.000050
13.2410	0.000301	0.000027
13.7927	0.000338	-0.000001
14.3444	0.000376	-0.000033
14.8961	0.000418	-0.000071
15.4478	0.000461	-0.000113
15.9995	0.000507	-0.000161
16.5512	0.000556	-0.000213
17.1030	0.000607	-0.000271
17.6547	0.000660	-0.000334
18.2064	0.000715	-0.000401
18.7581	0.000773	-0.000474
19.3098	0.000832	-0.000550
19.8615	0.000894	-0.000631
20.4132	0.000957	-0.000716
20.9649	0.001023	-0.000803
21.5166	0.001090	-0.000894
22.0683	0.001159	-0.000987
22.6200	0.001229	-0.001082
23.1717	0.001300	-0.001178
23.7235	0.001373	-0.001274
24.2752	0.001446	-0.001370
24.8269	0.001520	-0.001465
25.3786	0.001595	-0.001558
25.9303	0.001671	-0.001649
26.4820	0.001746	-0.001736
27.0337	0.001822	-0.001819
27.5854	0.001897	-0.001897
28.1371	0.001972	-0.001969
28.6888	0.002046	-0.002034
29.2405	0.002120	-0.002090
29.7922	0.002192	-0.002138
30.3440	0.002263	-0.002177
30.8957	0.002332	-0.002205
31.4474	0.002399	-0.002222
31.9991	0.002464	-0.002226
32.5508	0.002527	-0.002218
33.1025	0.002587	-0.002196
33.6542	0.002644	-0.002160
34.2059	0.002698	-0.002109
34.7576	0.002748	-0.002043
35.3093	0.002795	-0.001961
35.8610	0.002837	-0.001863
36.4127	0.002876	-0.001749
36.9645	0.002909	-0.001618
37.5162	0.002938	-0.001470
38.0679	0.002962	-0.001306
38.6196	0.002980	-0.001124
39.1713	0.002992	-0.000927
39.7230	0.002999	-0.000713
40.2747	0.002999	-0.000484
40.8264	0.002993	-0.000239
41.3781	0.002980	0.000020
41.9298	0.002961	0.000293
42.4815	0.002934	0.000579
43.0332	0.002900	0.000877
43.5850	0.002858	0.001186
44.1367	0.002808	0.001504
44.6884	0.002751	0.001832
45.2401	0.002685	0.002166
45.7918	0.002611	0.002506
