time	x_field	y_or_z_field
0.0000	0.000000	0.000000
0.5517	0.000001	-0.000000
1.1034	0.000003	-0.000000
1.6551	0.000008	-0.000001
2.2068	0.000013	-0.000003
2.7585	0.000021	-0.000007
3.3102	0.000030	-0.000011
3.8620	0.000041	-0.000018
4.4137	0.000053	-0.000026
4.9654	0.000066	-0.000037
5.5171	0.000081	-0.000050
6.0688	0.000097	-0.000065
6.6205	0.000114	-0.000084
7.1722	0.000131	-0.000105
7.7239	0.000150	-0.000128
8.2756	0.000170	-0.000154
8.8273	0.000190	-0.000183
9.3790	0.000211	-0.000215
9.9307	0.000232	-0.000249
10.4825	0.000253	-0.000285
11.0342	0.000274	-0.000322
11.5859	0.000295	-0.000362
12.1376	0.000316	-0.000403
12.6893	0.000336	-0.000445
13.2410	0.000355	-0.000487
13.7927	0.000374	-0.000529
14.3444	0.000391	-0.000571
14.8961	0.000408	-0.000612
15.4478	0.000422	-0.000651
15.9995	0.000436	-0.000689
16.5512	0.000447	-0.000724
17.1030	0.000456	-0.000755
17.6547	0.000463	-0.000783
18.2064	0.000468	-0.000806
18.7581	0.000470	-0.000824
19.3098	0.000469	-0.000836
19.8615	0.000465	-0.000842
20.4132	0.000458	-0.000841
20.9649	0.000447	-0.000832
21.5166	0.000433	-0.000816
22.0683	0.000416	-0.000791
22.6200	0.000394	-0.000757
23.1717	0.000368	-0.000713
23.7235	0.000338	-0.000660
24.2752	0.000304	-0.000597
24.8269	0.000265	-0.000523
25.3786	0.000221	-0.000438
25.9303	0.000172	-0.000343
26.4820	0.000119	-0.000237
27.0337	0.000060	-0.000121
27.5854	-0.000003	0.000007
28.1371	-0.000072	0.000144
28.6888	-0.000146	0.000292
29.2405	-0.000226	0.000450
29.7922	-0.000311	0.000617
30.3440	-0.000402	0.000793
30.8957	-0.000498	0.000978
31.4474	-0.000600	0.001170
31.9991	-0.000707	0.001369
32.5508	-0.000820	0.001573
33.1025	-0.000938	0.001783
33.6542	-0.001062	0.001997
34.2059	-0.001191	0.002213
34.7576	-0.001326	0.002431
35.3093	-0.001466	0.002650
35.8610	-0.001611	0.002868
36.4127	-0.001761	0.003084
36.9645	-0.001917	0.003296
37.5162	-0.002077	0.003502
38.0679	-0.002242	0.003703
38.6196	-0.002411	0.003895
39.1713	-0.002585	0.004078
39.7230	-0.002763	0.004250
40.2747	-0.002945	0.004409
40.8264	-0.003131	0.004554
41.3781	-0.003320	0.004684
41.9298	-0.003512	0.004796
42.4815	-0.003708	0.004890
43.0332	-0.003905	0.004964
43.5850	-0.004106	0.005017
44.1367	-0.004308	0.005047
44.6884	-0.004512	0.005054
45.2401	-0.004718	0.005035
45.7918	-0.004925	0.004991
46.3435	-0.005132	0.004921
46.8952	-0.005339	0.004823
47.4469	-0.005547	0.004696
47.9986	-0.005754	0.004541
48.5503	-0.005960	0.004357
49.1020	-0.006165	0.004144
49.6537	-0.006368	0.003901
50.2055	-0.006569	0.003629
50.7572	-0.006768	0.003328
51.3089	-0.006963	0.002998
51.8606	-0.007155	0.002640
52.4123	-0.007343	0.002254
52.9640	-0.007526	0.001842
53.5157	-0.007705	0.001403
54.0674	-0.007878	0.000941
54.6191	-0.008046	0.000455
55.1708	-0.008207	-0.000052
55.7225	-0.008361	-0.000578
56.2742	-0.008509	-0.001123
56.8260	-0.008648	-0.001683
57.3777	-0.008779	-0.002258
57.9294	-0.008902	-0.002843
58.4811	-0.009015	-0.003438
59.0328	-0.009119	-0.004038
59.5845	-0.009213	-0.004643
60.1362	-0.009296	-0.005248
60.6879	-0.009368	-0.005852
61.2396	-0.009429	-0.006450
61.7913	-0.009478	-0.007040
62.3430	-0.009515	-0.007620
62.8947	-0.009539	-0.008185
63.4465	-0.009550	-0.008733
63.9982	-0.009548	-0.009260
64.5499	-0.009532	-0.009764
65.1016	-0.009501	-0.010241
65.6533	-0.009456	-0.010689
66.2050	-0.009396	-0.011104
66.7567	-0.009322	-0.011482
67.3084	-0.009231	-0.011823
67.8601	-0.009125	-0.012122
68.4118	-0.009003	-0.012377
68.9635	-0.008865	-0.012586
69.5152	-0.008710	-0.012746
70.0670	-0.008538	-0.012855
70.6187	-0.008350	-0.012911
71.1704	-0.008145	-0.012912
71.7221	-0.007923	-0.012857
72.2738	-0.007683	-0.012745
72.8255	-0.007426	-0.012574
73.3772	-0.007152	-0.012343
73.9289	-0.006861	-0.012052
74.4806	-0.006552	-0.011701
75.0323	-0.006226	-0.011289
75.5840	-0.005882	-0.010817
76.1357	-0.005522	-0.010286
76.6875	-0.005144	-0.009695
77.2392	-0.004749	-0.009046
77.7909	-0.004338	-0.008341
78.3426	-0.003909	-0.007582
78.8943	-0.003465	-0.006769
79.4460	-0.003004	-0.005906
79.9977	-0.002527	-0.004996
80.5494	-0.002035	-0.004040
81.1011	-0.001527	-0.003042
81.6528	-0.001005	-0.002006
82.2045	-0.000468	-0.000935
82.7562	0.000084	0.000167
83.3080	0.000648	0.001296
83.8597	0.001226	0.002447
84.4114	0.001817	0.003616
84.9631	0.002420	0.004798
85.5148	0.003034	0.005989
86.0665	0.003660	0.007183
86.6182	0.004295	0.008374
87.1699	0.004941	0.009559
87.7216	0.005596	0.010731
88.2733	0.006259	0.011885
88.8250	0.006929	0.013016
89.3767	0.007607	0.014117
89.9285	0.008291	0.015185
90.4802	0.008981	0.016212
91.0319	0.009675	0.017194
91.5836	0.010372	0.018126
92.1353	0.011073	0.019003
92.6870	0.011776	0.019819
93.2387	0.012480	0.020570
93.7904	0.013185	0.021250
94.3421	0.013889	0.021857
94.8938	0.014591	0.022384
95.4455	0.015291	0.022830
95.9972	0.015988	0.023189
96.5490	0.016680	0.023459
97.1007	0.017367	0.023637
97.6524	0.018048	0.023719
98.2041	0.018721	0.023705
98.7558	0.019386	0.023591
99.3075	0.020042	0.023377
99.8592	0.020688	0.023061
100.4109	0.021322	0.022643
100.9626	0.021944	0.022123
101.5143	0.022553	0.021501
